Country Code,Year,Bucket,prod_usd,Country Name,Population,"GDP per capita (constant prices, PPP)",prod_pc,prod_pct_gdp
DEU,2014,Natural Gas,2595296319.096342,Germany,80982500.0,49853.16908652159,32.047619165824,0.06428401594732011
DNK,2014,Natural Gas,1541447068.2225745,Denmark,5643475.0,51444.62913468447,273.1379280004916,0.530935750912702
DZA,2014,Natural Gas,25742638917.277092,Algeria,39205031.0,12743.188,656.6157011144078,5.152680013152185
EGY,2014,Natural Gas,15078771761.203318,"Egypt, Arab Rep.",97528654.0,6726.018542754911,154.608631850936,2.2986649660292167
GBR,2014,Natural Gas,12018923550.433048,United Kingdom,64620000.0,48045.56402341457,185.9938649092084,0.3871197449541149
IDN,2014,Natural Gas,27984715936.77358,Indonesia,258877399.0,5181.736064638595,108.10026694054346,2.0861785623981413
IND,2014,Natural Gas,9425697409.274685,India,1312277191.0,15976.657584257571,7.182703070600489,0.04495748270700806
IRN,2014,Natural Gas,56335615887.07073,"Iran, Islamic Rep.",81502045.0,12598.706332495804,691.2172067224906,5.4864141482497795
IRQ,2014,Natural Gas,2418083381.946222,Iraq,36550059.0,12568.92213736616,66.15812526995434,0.5263627584522366
ISR,2014,Natural Gas,2294694617.802969,Israel,8215700.0,52383.23991094898,279.30603817118066,0.5331973330515606
ITA,2014,Natural Gas,2186487465.180156,Italy,60320707.0,50045.01733159248,36.24770951673621,0.07243020674078918
KAZ,2014,Natural Gas,10523310518.650908,Kazakhstan,17816285.0,14587.661800460584,590.6568355103719,4.049016515393323
KWT,2014,Natural Gas,4584325005.13634,Kuwait,3665876.0,13406.23603725491,1250.5401178698735,9.328047890509444
LBY,2014,Natural Gas,3797704219.8324466,Libya,6427252.0,17796.521525879958,590.875263616931,3.320172780718252
MEX,2014,Natural Gas,16471906935.455442,Mexico,119784261.0,20742.23141388534,137.5131156459315,0.6629620164871797
MMR,2014,Natural Gas,5311870585.189987,Myanmar,50681634.0,5972.371113011146,104.80858973864156,1.754890775462867
MYS,2014,Natural Gas,23174459007.1114,Malaysia,30696137.0,48043.5847370586,754.9633690751185,1.5714134846660905
NGA,2014,Natural Gas,12838033017.0328,Nigeria,185896915.0,2278.228055058204,69.05995732652583,3.03130132969772
NLD,2014,Natural Gas,19389438933.140392,Netherlands,16865008.0,53904.39113394455,1149.6845381360265,2.1328216754720932
NOR,2014,Natural Gas,34186946904.864273,Norway,5137232.0,44650.02798161244,6654.740705668787,14.904225162880772
OMN,2014,Natural Gas,9423726401.587318,Oman,4002439.0,46563.33184932299,2354.495946493455,5.05654525348939
PAK,2014,Natural Gas,11233912336.692654,Pakistan,214264647.0,6738.286073809544,52.43007884867098,0.778092207341224
PER,2014,Natural Gas,4215035877.545142,Peru,30115826.0,18024.877417727806,139.96082583108105,0.7764869773451383
POL,2014,Natural Gas,1391519354.899264,Poland,38011735.0,50745.26936000926,36.607625379353614,0.07213997647670962
QAT,2014,Natural Gas,54400921797.686195,Qatar,2151745.0,67655.39892288778,25282.2345573877,37.369130860057254
ROU,2014,Natural Gas,3273298341.005108,Romania,19908979.0,16933.972240841827,164.41316960578982,0.9709072819267623
RUS,2014,Natural Gas,189814620989.84293,Russian Federation,144237223.0,23699.588141650376,1315.989153436786,5.552793346328356
SAU,2014,Natural Gas,31229635182.84706,Saudi Arabia,28309273.0,18887.616843344786,1103.159208039255,5.8406479609838255
SYR,2014,Natural Gas,1482878673.7046032,,,,,
THA,2014,Natural Gas,12552089271.128605,Thailand,70216367.0,19044.440024769883,178.7630122066641,0.9386624756315151
TKM,2014,Natural Gas,20390622567.185528,,,,,
TTO,2014,Natural Gas,12223038414.766249,Trinidad and Tobago,1345343.0,26671.87616909732,9085.443946091256,34.06376022627861
